Filename,Frame,Technique,Method,IoU,Intersection Area,Union Area
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW191/WW191_125_G0,10,N2N_ZS,avg_min_intensity,0.6139155008932714,74269.21599260597,120976.28400739403
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW191/WW191_150_G0,10,N2N_ZS,q1,0.80656576330928,98015.93798828125,121522.56201171875
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW191/WW191_150_G0,10,N2N_ZS,avg_min_intensity,0.5325239185451005,64676.9306640625,121453.5693359375
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW191/WW191_100_G0,10,N2N_ZS,q1,0.7634282761020013,101205.65764301606,132567.34235698395
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW191/WW191_100_G0,10,N2N_ZS,avg_min_intensity,0.46022808315038277,55888.49152152415,121436.50847847585
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_125_G0,10,N2N_ZS,q1,0.7069418100752896,111853.23058948178,158221.2694105182
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_125_G0,10,N2N_ZS,avg_min_intensity,0.5032419300803864,79571.90628349196,158118.593716508
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_150_G0,10,N2N_ZS,q1,0.6806663654988058,110824.64059767567,162817.85940232433
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_150_G0,10,N2N_ZS,avg_min_intensity,0.4211572643701428,68499.82760484872,162646.67239515125
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_175_G0,10,N2N_ZS,q1,0.6517685278081226,106754.87685381778,163792.6231461822
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_175_G0,10,N2N_ZS,avg_min_intensity,0.5010598669257056,82020.82971130218,163694.67028869782
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_100_G0,10,N2N_ZS,q1,0.6580820862983102,107726.43505859375,163697.56494140625
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_100_G0,10,N2N_ZS,avg_min_intensity,0.502935571436031,82304.2664082022,163647.73359179782
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_125_GP10,10,N2N_ZS,q1,0.5640020220556113,96662.03232222356,171385.96767777644
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW196/WW196_125_GP10,10,N2N_ZS,avg_min_intensity,0.5806149857781571,99544.80859773251,171447.1914022675
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_125_GP10,10,N2N_ZS,q1,0.6368889136091604,78881.7299453918,123854.7700546082
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_125_GP10,10,N2N_ZS,avg_min_intensity,0.6656476291299275,74165.67602164003,111418.82397835997
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_125_G0,10,N2N_ZS,q1,0.636102700614381,77290.18014813549,121505.81985186452
